"fielder_pos","inning","batting_run_differential","outs_on_play","runs_on_play","throw","exchange","throw_dist","time_to_catch","ball_vx_0","ball_vz_0","ball_vy_0","ball_v_0","ball_ax_0","ball_az_0","ball_ay_0","ball_apex_x","ball_apex_y","ball_apex_z","player_px_7_0","player_py_7_0","player_px_8_0","player_py_8_0","player_px_9_0","player_py_9_0","landing_location_x","landing_location_y","launch_angle","launch_direction","launch_speed","runner_season_top_velo","runner_id","fielder_id","fielding_team_id","hitting_team_id","play_id"
8,3,-1,0,0,87.88,1.879,179.059,2.8,6.78772,25.26944,89.94367,93.6722,0.97379,-22.38001,-23.37335,20.30198,154.55036,29.07879,-124.915,268.383,20.725,306.246,156.964,247.989,58.67898,280.93015,15.77588,4.19214,94.73694,6.125,1,212,26,18,1
9,3,1,0,1,72.619,0.901,171.262,5.739,12.52199,55.22027,76.91811,95.51164,1.20653,-20.20171,-37.6994,48.6489,203.38019,111.52706,-127.998,275.391,18.102,311.225,148.451,261.408,96.60028,345.01407,35.1865,9.06622,97.35416,7.61,1,226,22,18,2
8,3,-2,0,0,84.538,1,170.335,5.806,-0.72926,63.24802,60.09668,87.24939,-0.67352,-27.31559,-35.17692,-11.102,155.93892,124.95093,-142.715,251.029,5.463,327.319,128.432,280.118,-31.66954,262.70143,47.60176,-0.26278,87.53115,7.61,1,68,1,18,3
8,3,3,0,1,73.034,NA,157.046,3.8,6.64741,32.51786,97.17252,102.68446,1.28469,-20.34781,-29.28107,29.35443,217.12133,48.88981,-131.147,264.438,16.239,314.714,132.706,251.642,72.95618,365.52112,17.90542,3.57397,103.29302,8.79,2,187,20,17,4
7,1,3,0,1,69.015,1.399,149.091,3.8,-30.14105,37.282,76.3903,90.18818,1.05194,-23.00382,-28.87653,-74.15648,170.39743,54.35086,-138.812,266.322,15.037,309.355,123.19,246.867,-131.77686,299.29735,24.12366,-21.17599,91.44045,8.79,2,116,29,17,5
7,5,1,0,1,88.316,1.159,196.69,4.6,-25.07339,43.00801,69.89212,85.80951,1.966,-22.62036,-29.83686,-73.39374,175.66465,72.70193,-121.891,262.587,17.96,297.468,122.476,235.24,-131.90174,303.07162,29.54657,-19.58103,85.9559,8.79,2,97,9,17,6
8,4,-7,0,1,NA,NA,NA,4.44,6.84153,38.82733,81.67695,90.6945,0.76008,-19.19507,-28.07595,38.35422,191.69338,65.22906,-123.991,275.748,15.17,318.632,129.134,256.411,93.50919,316.74594,25.01504,4.64335,91.8537,7.872,3,58,19,4,7
8,2,0,0,1,98.549,NA,286.554,4.04,14.24229,36.12324,81.81154,90.55859,1.69626,-19.88358,-26.07523,30.7802,189.24035,56.86615,-115.012,256.466,21.285,300.561,146.449,243.126,48.69582,335.88584,23.59372,9.86277,91.91603,7.872,3,192,10,4,8
8,2,-1,0,1,NA,NA,NA,4.68,8.66473,50.08613,64.2933,81.9593,1.11316,-22.79764,-27.70257,38.47604,158.67946,83.62987,-113.811,247.731,27.421,310.238,146.351,263.553,95.14642,288.66873,37.8225,7.40636,83.47506,7.872,3,362,29,4,9
8,6,1,0,1,83.594,1.168,169.814,4.371,19.64975,39.39109,67.15522,80.29691,-1.99252,-23.26311,-25.7817,41.62905,168.49443,64.91696,-114.661,262.57,14.531,320.206,155.274,273.469,69.12439,298.65396,29.57287,16.44019,81.55774,7.913,3,58,19,4,10
8,1,2,0,1,NA,2.402,NA,3.637,-12.11688,34.12506,70.2579,79.0412,0.56772,-20.1635,-21.83802,-41.06382,149.34817,46.68474,-138.406,210.182,-26.823,290.428,107.424,269.704,-94.1058,261.20549,25.87469,-9.47686,80.16534,7.913,3,89,11,4,11
7,2,-1,0,1,NA,NA,NA,4.24,-32.19641,43.46448,54.94053,77.09884,2.15067,-23.92791,-25.78911,-90.11501,114.99313,69.10362,-128.367,239.235,-6.227,295.164,115.279,247.234,-186.49185,187.71218,34.49905,-29.85516,78.47848,7.792,4,175,4,19,12
8,6,9,1,0,NA,NA,0,3.52,3.43035,31.01416,62.01585,69.42342,0.94348,-20.87322,-17.75463,1.1595,128.94155,41.77054,-110.795,260.281,-2.396,290.577,120.721,243.054,-9.96301,235.1023,26.29588,3.53438,70.34808,7.792,4,331,4,19,13
8,1,2,0,0,95.74,0.88,225.598,NA,-1.72905,42.10301,66.06756,78.36183,0.42792,-21.30652,-25.82851,-12.76997,162.33297,70.27621,-136.335,248.552,-13.507,322.813,140.221,266.018,-33.58864,284.2532,32.48048,-1.36823,79.52514,7.792,4,309,27,19,14
9,4,-2,0,1,NA,NA,NA,3.64,30.71172,33.47327,75.9306,88.48235,0.31308,-23.57902,-28.85388,72.70778,161.42561,46.95394,-120.269,265.439,21.55,312.117,164.575,260.652,143.89477,295.36256,22.34447,22.02193,89.60329,7.792,4,48,12,19,15
8,7,-7,0,0,91.352,1.52,162.189,3.68,14.00262,32.38608,61.9434,71.28756,0.94348,-20.87322,-17.75463,27.43499,140.73515,47.64644,-125.463,265.496,6.606,304.733,121.22,274.533,39.42561,254.14775,27.57046,12.55893,72.43798,7.792,4,26,3,19,16
7,1,1,0,1,62.228,1.399,146.896,3.52,-20.37985,31.93197,86.9596,94.85231,1.28469,-20.34781,-29.28107,-62.52795,171.83626,45.16781,-117.287,262.01,10.972,311.602,140.305,260.347,-137.97036,287.6822,19.78204,-12.81053,96.37671,7.792,4,164,29,19,17
8,4,-3,0,1,NA,NA,NA,3.2,-2.84522,29.83218,91.41695,96.2035,1.28469,-20.34781,-29.28107,0.41875,187.26251,38.47672,-156.852,260.298,-14.55,305.347,145.252,233.125,4.56658,336.63354,18.28807,-1.89656,97.32622,7.882,5,280,14,22,18
9,1,2,0,1,97.006,1.24,218.04,3.36,15.15128,32.49496,72.71087,81.07006,1.33041,-20.78208,-20.37793,43.3667,147.85714,42.33172,-130.38,275.859,9.646,316.848,141.399,254.254,99.40583,270.36528,23.91985,11.47572,82.12723,8.797,6,100,8,28,19
